"Source Text","Translated Text","Context"
"Invalid phone number","Número de teléfono inválido","Validation"
"Value must be positive","El valor debe ser positivo","Validation"
"Maximum length exceeded","Longitud máxima excedida","Validation"
"User created successfully","Usuario creado exitosamente","Success Message"
"User updated successfully","Usuario actualizado exitosamente","Success Message"
"User deleted successfully","Usuario eliminado exitosamente","Success Message"
"Policy created successfully","Política creada exitosamente","Success Message"
"Policy updated successfully","Política actualizada exitosamente","Success Message"
"Evidence uploaded successfully","Evidencia subida exitosamente","Success Message"
"Changes saved successfully","Cambios guardados exitosamente","Success Message"
"Data exported successfully","Datos exportados exitosamente","Success Message"
"Settings updated successfully","Configuración actualizada exitosamente","Success Message"
"Language changed successfully","Idioma cambiado exitosamente","Success Message"
"Failed to create user","Error al crear usuario","Error Message"
"Failed to update user","Error al actualizar usuario","Error Message"
"Failed to delete user","Error al eliminar usuario","Error Message"
"Failed to save changes","Error al guardar cambios","Error Message"
"Failed to load data","Error al cargar datos","Error Message"
"Failed to export data","Error al exportar datos","Error Message"
"Network error occurred","Error de red","Error Message"
"Permission denied","Permiso denegado","Error Message"
"Session expired","Sesión expirada","Error Message"
"Invalid credentials","Credenciales inválidas","Error Message"
"User {0} has been created","El usuario {0} ha sido creado","Success with Placeholder"
"Policy {0} has been updated","La política {0} ha sido actualizada","Success with Placeholder"
"{0} users selected","{0} usuarios seleccionados","Info with Placeholder"
"Showing {0} to {1} of {2} results","Mostrando {0} a {1} de {2} resultados","Pagination"
"Page {0} of {1}","Página {0} de {1}","Pagination"
"Are you sure you want to delete this user?","¿Está seguro de que desea eliminar este usuario?","Confirmation"
"Are you sure you want to delete {0} users?","¿Está seguro de que desea eliminar {0} usuarios?","Confirmation"
"This action cannot be undone","Esta acción no se puede deshacer","Warning"
"Active","Activo","Status"
"Inactive","Inactivo","Status"
"Pending","Pendiente","Status"
"Approved","Aprobado","Status"
"Rejected","Rechazado","Status"
"Draft","Borrador","Status"
"Published","Publicado","Status"
"Archived","Archivado","Status"
"Suspended","Suspendido","Status"
"Expired","Expirado","Status"
"Loading...","Cargando...","Status"
"Processing...","Procesando...","Status"
"Saving...","Guardando...","Status"
"Deleting...","Eliminando...","Status"
"Uploading...","Subiendo...","Status"
"Email","Correo","Field Label"
"Password","Contraseña","Field Label"
"First Name","Nombre","Field Label"
"Last Name","Apellido","Field Label"
"Full Name","Nombre completo","Field Label"
"Phone Number","Número de teléfono","Field Label"
"Date of Birth","Fecha de nacimiento","Field Label"
"Gender","Género","Field Label"
"Address","Dirección","Field Label"
"City","Ciudad","Field Label"
"Country","País","Field Label"
"Postal Code","Código postal","Field Label"
"Organization","Organización","Field Label"
"Department","Departamento","Field Label"
"Position","Posición","Field Label"
"Language","Idioma","Field Label"
"Timezone","Zona horaria","Field Label"
"Created On","Creado el","Field Label"
"Modified On","Modificado el","Field Label"
"Created By","Creado por","Field Label"
"Modified By","Modificado por","Field Label"
"Last Login","Última sesión","Field Label"
"Last Activity","Última actividad","Field Label"
"Status","Estado","Field Label"
"Description","Descripción","Field Label"
"Notes","Notas","Field Label"
"Tags","Etiquetas","Field Label"
"Attachments","Adjuntos","Field Label"
"Comments","Comentarios","Field Label"
"Administrator","Administrador","Role"
"CAP Admin","Administrador CAP","Role"
"CAP User","Usuario CAP","Role"
"Tenant Admin","Administrador de inquilino","Role"
"Compliance Officer","Oficial de cumplimiento","Role"
"Auditor","Auditor","Role"
"Viewer","Visor","Role"
"Guest","Invitado","Role"
"Policy Management","Gestión de políticas","Feature"
"Evidence Management","Gestión de evidencias","Feature"
"Compliance Assessment","Evaluación de cumplimiento","Feature"
"Violation Tracking","Seguimiento de violaciones","Feature"
"AI Chat","Chat IA","Feature"
"Audit Logging","Registro de auditoría","Feature"
"Custom Reports","Informes personalizados","Feature"
"API Access","Acceso API","Feature"
"Multi-Language Support","Soporte multilingüe","Feature"
"Advanced Analytics","Análisis avanzados","Feature"
"Blockchain Anchoring","Anclaje blockchain","Feature"
"Real-time Monitoring","Monitoreo en tiempo real","Feature"
"Low","Bajo","Priority"
"Medium","Medio","Priority"
"High","Alto","Priority"
"Critical","Crítico","Priority"
"Today","Hoy","Date"
"Yesterday","Ayer","Date"
"This Week","Esta semana","Date"
"Last Week","Semana pasada","Date"
"This Month","Este mes","Date"
"Last Month","Mes pasado","Date"
"This Year","Este año","Date"
"Last Year","Año pasado","Date"
"Custom Range","Rango personalizado","Date"
"All Time","Todo el tiempo","Date"
"Yes","Sí","Confirmation"
"No","No","Confirmation"
"OK","OK","Confirmation"
"Close","Cerrar","Action"
"Back","Atrás","Action"
"Next","Siguiente","Action"
"Previous","Anterior","Action"
"Finish","Terminar","Action"
"Skip","Omitir","Action"
"Help","Ayuda","Action"
"Support","Soporte","Action"
"Documentation","Documentación","Action"
"About","Acerca de","Action"
"Version","Versión","Info"
"License","Licencia","Info"
"Privacy Policy","Política de privacidad","Link"
"Terms of Service","Términos de servicio","Link"
"Contact Us","Contáctanos","Link"
"English","Inglés","Language"
"Arabic","العربية","Language"
"French","Francés","Language"
"Spanish","Español","Language"
"Change Language","Cambiar idioma","Action"
"Select Language","Seleccionar idioma","Dialog Title"
"Language changed. Refreshing...","Idioma cambiado. Actualizando...","Info Message"
"Changing language...","Cambiando idioma...","Info Message"
"Invalid language code","Código de idioma inválido","Error Message"
"Failed to change language","Error al cambiar idioma","Error Message"
