"Source Text","Translated Text","Context"
"Postal Code","الرمز البريدي","Field Label"
"Organization","المنظمة","Field Label"
"Department","القسم","Field Label"
"Position","المنصب","Field Label"
"Language","اللغة","Field Label"
"Timezone","المنطقة الزمنية","Field Label"
"Created On","تاريخ الإنشاء","Field Label"
"Modified On","تاريخ التعديل","Field Label"
"Created By","أنشئ بواسطة","Field Label"
"Modified By","عُدل بواسطة","Field Label"
"Last Login","آخر تسجيل دخول","Field Label"
"Last Activity","آخر نشاط","Field Label"
"Status","الحالة","Field Label"
"Description","الوصف","Field Label"
"Notes","ملاحظات","Field Label"
"Tags","الوسوم","Field Label"
"Attachments","المرفقات","Field Label"
"Comments","التعليقات","Field Label"
"Administrator","مسؤول النظام","Role"
"CAP Admin","مسؤول CAP","Role"
"CAP User","مستخدم CAP","Role"
"Tenant Admin","مسؤول المستأجر","Role"
"Compliance Officer","مسؤول الامتثال","Role"
"Auditor","مدقق","Role"
"Viewer","مشاهد","Role"
"Guest","ضيف","Role"
"Policy Management","إدارة السياسات","Feature"
"Evidence Management","إدارة الأدلة","Feature"
"Compliance Assessment","تقييم الامتثال","Feature"
"Violation Tracking","تتبع المخالفات","Feature"
"AI Chat","دردشة ذكية","Feature"
"Audit Logging","تسجيل التدقيق","Feature"
"Custom Reports","تقارير مخصصة","Feature"
"API Access","الوصول إلى API","Feature"
"Multi-Language Support","دعم تعدد اللغات","Feature"
"Advanced Analytics","التحليلات المتقدمة","Feature"
"Blockchain Anchoring","التثبيت على بلوكتشين","Feature"
"Real-time Monitoring","المراقبة الفورية","Feature"
"Low","منخفض","Priority"
"Medium","متوسط","Priority"
"High","عالي","Priority"
"Critical","حرج","Priority"
"Today","اليوم","Date"
"Yesterday","أمس","Date"
"This Week","هذا الأسبوع","Date"
"Last Week","الأسبوع الماضي","Date"
"This Month","هذا الشهر","Date"
"Last Month","الشهر الماضي","Date"
"This Year","هذا العام","Date"
"Last Year","العام الماضي","Date"
"Custom Range","نطاق مخصص","Date"
"All Time","كل الأوقات","Date"
"Yes","نعم","Confirmation"
"No","لا","Confirmation"
"OK","حسناً","Confirmation"
"Close","إغلاق","Action"
"Back","رجوع","Action"
"Next","التالي","Action"
"Previous","السابق","Action"
"Finish","إنهاء","Action"
"Skip","تخطي","Action"
"Help","مساعدة","Action"
"Support","الدعم","Action"
"Documentation","التوثيق","Action"
"About","حول","Action"
"Version","الإصدار","Info"
"License","الترخيص","Info"
"Privacy Policy","سياسة الخصوصية","Link"
"Terms of Service","شروط الخدمة","Link"
"Contact Us","اتصل بنا","Link"
"English","English","Language"
"Arabic","العربية","Language"
"French","Français","Language"
"Spanish","Español","Language"
"Change Language","تغيير اللغة","Action"
"Select Language","اختر اللغة","Dialog Title"
"Language changed. Refreshing...","تم تغيير اللغة. جاري التحديث...","Info Message"
"Changing language...","جاري تغيير اللغة...","Info Message"
"Invalid language code","رمز لغة غير صحيح","Error Message"
"Failed to change language","فشل تغيير اللغة","Error Message"
